UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,EBOOK,2019,3,35,"Throne of Glass: Throne of Glass Series, Book 1",,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2012
Digital,OverDrive,EBOOK,2019,3,15,"Heir of Fire: Throne of Glass Series, Book 3",,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2014
Physical,Horizon,BOOK,2019,3,5,The assassin's blade : the Throne of glass novellas / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Fantasy","Bloomsbury,",2014.
Physical,Horizon,BOOK,2019,3,3,Catwoman : Soulstealer / Sarah J. Maas.,,"Maas, Sarah J.","Catwoman Fictitious character Juvenile fiction, Catwoman Fictitious character Fiction, Superheroes Juvenile fiction, Women superheroes Juvenile fiction, Comic strip characters Juvenile fiction, Catwoman Fictitious character Fiction, Criminals Fiction, Coming of age Fiction, Young adult fiction","Random House,",[2018]
Physical,Horizon,BOOK,2019,3,7,Empire of storms / Sarah J. Maas.,,"Maas, Sarah J.","Queens Juvenile fiction, Assassins Juvenile fiction, Magic Juvenile fiction, Young adult fiction, Romance fiction, Fantasy fiction","Bloomsbury,",[2016]
Physical,Horizon,BOOK,2019,3,12,A court of mist and fury / Sarah J. Maas.,,"Maas, Sarah J.","Fairies Juvenile fiction, Imaginary places Juvenile fiction, Young adult fiction","Bloomsbury,",2016.
Digital,OverDrive,EBOOK,2019,3,4,"The Assassin and the Pirate Lord: Throne of Glass Series, Book 0.1",,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2013
Digital,OverDrive,EBOOK,2019,3,19,"Empire of Storms: Throne of Glass Series, Book 5",,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2016
Digital,OverDrive,EBOOK,2019,3,11,"The Assassin's Blade: Throne of Glass Series, Books 0.1-0.5",,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2014
Physical,Horizon,BOOK,2019,3,11,Throne of glass / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Princes Juvenile fiction, Courts and courtiers Juvenile fiction, Prisoners Juvenile fiction, Fantasy","Bloomsbury,",2012.
Digital,OverDrive,EBOOK,2019,3,2,"The Assassin and the Underworld: Throne of Glass Series, Book 0.4",,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2013
Physical,Horizon,BOOK,2019,3,9,Tower of dawn / Sarah J. Maas.,,"Maas, Sarah J.","Queens Juvenile fiction, Assassins Juvenile fiction, Magic Juvenile fiction, Fantasy, Kings queens rulers etc Fiction, Love Fiction, Romance fiction, Fantasy fiction, Fantasy fiction","Bloomsbury Children's Books,",2017.
Digital,OverDrive,EBOOK,2019,3,2,"The Assassin and the Empire: Throne of Glass Series, Book 0.5",,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2012
Physical,Horizon,BOOK,2019,3,6,A court of frost and starlight / Sarah J. Maas.,,"Maas, Sarah J.","Imaginary wars and battles Juvenile fiction, Courts and courtiers Juvenile fiction, Fairies Juvenile fiction, Winter solstice Juvenile fiction, Fantasy fiction, Young adult fiction","Bloomsbury,",2018.
Physical,Horizon,BOOK,2019,3,6,Heir of fire / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Kings and rulers Juvenile fiction, Courts and courtiers Juvenile fiction, Fairies Juvenile fiction, Ability Juvenile fiction, Young adult fiction, Fantasy fiction","Bloomsbury,",2014.
Digital,OverDrive,EBOOK,2019,3,16,"Crown of Midnight: Throne of Glass Series, Book 2",,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2013
Digital,OverDrive,EBOOK,2019,3,28,"Tower of Dawn: Throne of Glass Series, Book 6",,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2017
Digital,OverDrive,EBOOK,2019,4,3,"The Assassin and the Empire: Throne of Glass Series, Book 0.5",,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2012
Physical,Horizon,SOUNDDISC,2019,4,2,Crown of midnight / Sarah J. Maas.,,"Maas, Sarah J.","Fantasy, Assassins Fiction, Kings queens rulers etc Fiction, Courts and courtiers Fiction, Love Fiction, Childrens audiobooks, Love stories, Young adult fiction","Brilliance Audio ; Distributed by Recorded Books,",[2014]
Digital,OverDrive,EBOOK,2019,4,2,"The Assassin and the Desert: Throne of Glass Series, Book 0.3",,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2013
Physical,Horizon,SOUNDDISC,2019,4,1,Queen of shadows / Sarah J. Maas.,,"Maas, Sarah J.","Sardothien Celaena Fictitious character Fiction, Queens Fiction, Homecoming Fiction, Assassins Fiction, Identity Fiction, Young adult fiction, Fantasy fiction, Audiobooks","Audible Studios on Brilliance Audio,",[2016]
Digital,OverDrive,EBOOK,2019,4,11,Catwoman: Soulstealer,,Sarah J. Maas,"Comic and Graphic Books, Young Adult Fiction, Young Adult Literature","Random House, Inc.",2018
Physical,Horizon,SOUNDDISC,2019,4,1,Empire of storms / Sarah J. Maas.,,"Maas, Sarah J.","Queens Fiction, Assassins Fiction, Magic Fiction, Fantasy, Kings queens rulers etc Fiction, Love Fiction, Young adult fiction, Fantasy fiction, Fantasy fiction, Romance fiction","Brilliance Audio,",[2016]
